"Story","Title","Result","Date","Stability","Duration (s)"
"Booking CRUD testwith step","This will create booking user","FAILURE","2023-01-03T22:48:10.193Z[Europe/London]","0.0","4.88"
"Booking CRUD testwith step","This will create auth","SUCCESS","2023-01-03T22:48:15.106Z[Europe/London]","0.0","0.74"
